question_number,question,code,source,tables,text_for_embedding,curl,timestamp,answer
88,Khu vực/lãnh thổ nào có chi phí sản xuất tăng nhanh nhất theo năm?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Khu vực/lãnh thổ nào có chi phí sản xuất tăng nhanh nhất theo năm?,,,
89,Có tháng nào chi phí sản xuất tăng đột biến không?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""month""}]}",biz,"[""finance_production_cost_allocations""]",Có tháng nào chi phí sản xuất tăng đột biến không?,,,
90,Chi phí sản xuất theo quý trong toàn bộ hệ thống là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""quarter""}]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất theo quý trong toàn bộ hệ thống là bao nhiêu?,,,
91,Quý nào có chi phí sản xuất cao nhất?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""quarter""}],""order"":{""finance_production_cost_allocations.total_production_cost_value"":""desc""},""limit"":1}",biz,"[""finance_production_cost_allocations""]",Quý nào có chi phí sản xuất cao nhất?,,,
92,Năm nào có chi phí sản xuất cao nhất?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}],""order"":{""finance_production_cost_allocations.total_production_cost_value"":""desc""},""limit"":1}",biz,"[""finance_production_cost_allocations""]",Năm nào có chi phí sản xuất cao nhất?,,,
93,Khu vực/lãnh thổ nào có chi phí sản xuất cao nhất theo quý?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""quarter""}],""order"":{""finance_production_cost_allocations.total_production_cost_value"":""desc""},""limit"":5}",biz,"[""finance_production_cost_allocations""]",Khu vực/lãnh thổ nào có chi phí sản xuất cao nhất theo quý?,,,
94,Khu vực nào có chi phí sản xuất cao nhất theo năm?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}],""order"":{""finance_production_cost_allocations.total_production_cost_value"":""desc""},""limit"":5}",biz,"[""finance_production_cost_allocations""]",Khu vực nào có chi phí sản xuất cao nhất theo năm?,,,
95,Có Khu vực/lãnh thổ nào có chi phí sản xuất tăng bất thường theo tháng không?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""month""}]}",biz,"[""finance_production_cost_allocations""]",Có Khu vực/lãnh thổ nào có chi phí sản xuất tăng bất thường theo tháng không?,,,
96,Khu vực/lãnh thổ nào có chi phí sản xuất giảm mạnh nhất theo tháng?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""month""}]}",biz,"[""finance_production_cost_allocations""]",Khu vực/lãnh thổ nào có chi phí sản xuất giảm mạnh nhất theo tháng?,,,
97,Có xu hướng tăng chi phí sản xuất theo năm không?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Có xu hướng tăng chi phí sản xuất theo năm không?,,,
98,Chi phí hạ tầng theo tháng có biến động như thế nào?,"{""measures"":[""finance_production_cost_allocations.total_infra_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""month""}]}",biz,"[""finance_production_cost_allocations""]",Chi phí hạ tầng theo tháng có biến động như thế nào?,,,
99,Tháng nào có chi phí hạ tầng cao nhất?,"{""measures"":[""finance_production_cost_allocations.total_infra_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""month""}],""order"":{""finance_production_cost_allocations.total_infra_production_cost_value"":""desc""},""limit"":1}",biz,"[""finance_production_cost_allocations""]",Tháng nào có chi phí hạ tầng cao nhất?,,,
100,Khu vực nào có chi phí hạ tầng cao nhất?,"{""measures"":[""finance_production_cost_allocations.total_infra_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""order"":{""finance_production_cost_allocations.total_infra_production_cost_value"":""desc""},""limit"":1}",biz,"[""finance_production_cost_allocations""]",Khu vực nào có chi phí hạ tầng cao nhất?,,,
101,Tổng chi phí sản xuất theo tháng là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""month""}]}",biz,"[""finance_production_cost_allocations""]",Tổng chi phí sản xuất theo tháng là bao nhiêu?,,,
102,Tăng trưởng chi phí sản xuất theo tháng (MoM) như thế nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""month""}]}",biz,"[""finance_production_cost_allocations""]",Tăng trưởng chi phí sản xuất theo tháng MoM như thế nào?,,,
103,Tăng trưởng chi phí sản xuất theo năm (YoY) như thế nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Tăng trưởng chi phí sản xuất theo năm YoY như thế nào?,,,
104,Khu vực nào có tăng trưởng chi phí sản xuất nhanh nhất theo năm?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Khu vực nào có tăng trưởng chi phí sản xuất nhanh nhất theo năm?,,,
105,Khu vực nào có tăng trưởng chi phí sản xuất nhanh nhất theo tháng?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""month""}]}",biz,"[""finance_production_cost_allocations""]",Khu vực nào có tăng trưởng chi phí sản xuất nhanh nhất theo tháng?,,,
106,Khu vực/lãnh thổ nào có tăng trưởng chi phí sản xuất nhanh nhất theo năm?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Khu vực/lãnh thổ nào có tăng trưởng chi phí sản xuất nhanh nhất theo năm?,,,
107,Khu vực/lãnh thổ nào có tăng trưởng chi phí sản xuất nhanh nhất theo tháng?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""month""}]}",biz,"[""finance_production_cost_allocations""]",Khu vực/lãnh thổ nào có tăng trưởng chi phí sản xuất nhanh nhất theo tháng?,,,
108,Danh mục sản phẩm nào có tăng trưởng chi phí sản xuất nhanh nhất theo năm?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.old_product_category""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Danh mục sản phẩm nào có tăng trưởng chi phí sản xuất nhanh nhất theo năm?,,,
109,Nhóm chi phí nào có tăng trưởng chi phí sản xuất nhanh nhất theo năm?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.cost_group""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Nhóm chi phí nào có tăng trưởng chi phí sản xuất nhanh nhất theo năm?,,,
110,Tăng trưởng chi phí sản xuất của từng khu vực theo năm như thế nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Tăng trưởng chi phí sản xuất của từng khu vực theo năm như thế nào?,,,
111,Tăng trưởng chi phí sản xuất của từng Khu vực/lãnh thổ theo năm như thế nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Tăng trưởng chi phí sản xuất của từng Khu vực/lãnh thổ theo năm như thế nào?,,,
112,Chi phí sản xuất của từng nhóm chi phí theo năm như thế nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.cost_group""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất của từng nhóm chi phí theo năm như thế nào?,,,
113,Chi phí sản xuất theo danh mục sản phẩm theo năm như thế nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.old_product_category""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất theo danh mục sản phẩm theo năm như thế nào?,,,
114,Chi phí sản xuất trung bình theo tháng thay đổi như thế nào?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""month""}]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất trung bình theo tháng thay đổi như thế nào?,,,
115,Chi phí sản xuất trung bình theo năm thay đổi như thế nào?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất trung bình theo năm thay đổi như thế nào?,,,
116,Khu vực nào có chi phí sản xuất trung bình tăng nhanh nhất theo năm?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Khu vực nào có chi phí sản xuất trung bình tăng nhanh nhất theo năm?,,,
117,Khu vực/lãnh thổ nào có chi phí sản xuất trung bình tăng nhanh nhất theo năm?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Khu vực/lãnh thổ nào có chi phí sản xuất trung bình tăng nhanh nhất theo năm?,,,
118,Nhóm chi phí nào có chi phí sản xuất trung bình tăng nhanh nhất theo năm?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.cost_group""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Nhóm chi phí nào có chi phí sản xuất trung bình tăng nhanh nhất theo năm?,,,
119,Danh mục sản phẩm nào có chi phí sản xuất trung bình tăng nhanh nhất theo năm?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.old_product_category""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Danh mục sản phẩm nào có chi phí sản xuất trung bình tăng nhanh nhất theo năm?,,,
120,Xu hướng tăng trưởng chi phí sản xuất toàn hệ thống theo năm như thế nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Xu hướng tăng trưởng chi phí sản xuất toàn hệ thống theo năm như thế nào?,,,
121,Chi phí sản xuất trung bình theo danh mục sản phẩm là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.old_product_category""]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất trung bình theo danh mục sản phẩm là bao nhiêu?,,,
122,Chi phí sản xuất trung bình theo Khu vực/lãnh thổ là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất trung bình theo Khu vực/lãnh thổ là bao nhiêu?,,,
123,Chi phí sản xuất trung bình theo khu vực kinh doanh là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất trung bình theo khu vực kinh doanh là bao nhiêu?,,,
124,Danh mục sản phẩm nào có chi phí sản xuất trung bình cao nhất?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.old_product_category""],""order"":{""finance_production_cost_allocations.avg_production_cost_value"":""desc""},""limit"":5}",biz,"[""finance_production_cost_allocations""]",Danh mục sản phẩm nào có chi phí sản xuất trung bình cao nhất?,,,
125,Khu vực/lãnh thổ nào có chi phí sản xuất trung bình cao nhất?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""order"":{""finance_production_cost_allocations.avg_production_cost_value"":""desc""},""limit"":5}",biz,"[""finance_production_cost_allocations""]",Khu vực/lãnh thổ nào có chi phí sản xuất trung bình cao nhất?,,,
126,Khu vực kinh doanh nào có chi phí sản xuất trung bình cao nhất?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""order"":{""finance_production_cost_allocations.avg_production_cost_value"":""desc""},""limit"":5}",biz,"[""finance_production_cost_allocations""]",Khu vực kinh doanh nào có chi phí sản xuất trung bình cao nhất?,,,
127,Danh mục sản phẩm nào có chi phí sản xuất trung bình thấp nhất?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.old_product_category""],""order"":{""finance_production_cost_allocations.avg_production_cost_value"":""asc""},""limit"":5}",biz,"[""finance_production_cost_allocations""]",Danh mục sản phẩm nào có chi phí sản xuất trung bình thấp nhất?,,,
128,Khu vực/lãnh thổ nào có chi phí sản xuất trung bình thấp nhất?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""order"":{""finance_production_cost_allocations.avg_production_cost_value"":""asc""},""limit"":5}",biz,"[""finance_production_cost_allocations""]",Khu vực/lãnh thổ nào có chi phí sản xuất trung bình thấp nhất?,,,
129,Khu vực kinh doanh nào có chi phí sản xuất trung bình thấp nhất?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""order"":{""finance_production_cost_allocations.avg_production_cost_value"":""asc""},""limit"":5}",biz,"[""finance_production_cost_allocations""]",Khu vực kinh doanh nào có chi phí sản xuất trung bình thấp nhất?,,,
130,Chi phí sản xuất trung bình theo nhóm chi phí là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.cost_group""]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất trung bình theo nhóm chi phí là bao nhiêu?,,,
131,Nhóm chi phí nào có chi phí sản xuất trung bình cao nhất?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.cost_group""],""order"":{""finance_production_cost_allocations.avg_production_cost_value"":""desc""},""limit"":5}",biz,"[""finance_production_cost_allocations""]",Nhóm chi phí nào có chi phí sản xuất trung bình cao nhất?,,,
132,Nhóm chi phí nào có chi phí sản xuất trung bình thấp nhất?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.cost_group""],""order"":{""finance_production_cost_allocations.avg_production_cost_value"":""asc""},""limit"":5}",biz,"[""finance_production_cost_allocations""]",Nhóm chi phí nào có chi phí sản xuất trung bình thấp nhất?,,,
133,Chi phí sản xuất trung bình theo khu vực Bắc và Nam là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất trung bình theo khu vực Bắc và Nam là bao nhiêu?,,,
134,Khu vực nào có chi phí sản xuất trung bình cao nhất?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""order"":{""finance_production_cost_allocations.avg_production_cost_value"":""desc""},""limit"":5}",biz,"[""finance_production_cost_allocations""]",Khu vực nào có chi phí sản xuất trung bình cao nhất?,,,
135,Khu vực nào có chi phí sản xuất trung bình thấp nhất?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""order"":{""finance_production_cost_allocations.avg_production_cost_value"":""asc""},""limit"":5}",biz,"[""finance_production_cost_allocations""]",Khu vực nào có chi phí sản xuất trung bình thấp nhất?,,,
136,Chi phí sản xuất trung bình theo danh mục sản phẩm theo năm là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.old_product_category""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất trung bình theo danh mục sản phẩm theo năm là bao nhiêu?,,,
137,Chi phí sản xuất trung bình theo Khu vực/lãnh thổ theo năm là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất trung bình theo Khu vực/lãnh thổ theo năm là bao nhiêu?,,,
138,Chi phí sản xuất trung bình theo khu vực theo năm là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""year""}]}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất trung bình theo khu vực theo năm là bao nhiêu?,,,
139,Xu hướng chi phí sản xuất trung bình theo Khu vực/lãnh thổ theo tháng như thế nào?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""month""}]}",biz,"[""finance_production_cost_allocations""]",Xu hướng chi phí sản xuất trung bình theo Khu vực/lãnh thổ theo tháng như thế nào?,,,
140,Xu hướng chi phí sản xuất trung bình theo danh mục sản phẩm theo tháng như thế nào?,"{""measures"":[""finance_production_cost_allocations.avg_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.old_product_category""],""timeDimensions"":[{""dimension"":""finance_production_cost_allocations.report_date"",""granularity"":""month""}]}",biz,"[""finance_production_cost_allocations""]",Xu hướng chi phí sản xuất trung bình theo danh mục sản phẩm theo tháng như thế nào?,,,
141,Tổng chi phí sản xuất theo từng Khu vực/lãnh thổ là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""order"":{""finance_production_cost_allocations.total_production_cost_value"":""desc""}}",biz,"[""finance_production_cost_allocations""]",Tổng chi phí sản xuất theo từng Khu vực/lãnh thổ là bao nhiêu?,,,
142,Top 5 Khu vực/lãnh thổ có chi phí sản xuất cao nhất là những Khu vực/lãnh thổ nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""order"":{""finance_production_cost_allocations.total_production_cost_value"":""desc""},""limit"":5}",biz,"[""finance_production_cost_allocations""]",Top 5 Khu vực/lãnh thổ có chi phí sản xuất cao nhất là những Khu vực/lãnh thổ nào?,,,
,,,,,,,,
,,,,,,,,
145,Tổng chi phí sản xuất theo từng nhóm chi phí là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.cost_group""],""order"":{""finance_production_cost_allocations.total_production_cost_value"":""desc""}}",biz,"[""finance_production_cost_allocations""]",Tổng chi phí sản xuất theo từng nhóm chi phí là bao nhiêu?,,,
146,Top 5 nhóm chi phí có tổng chi phí sản xuất cao nhất là những nhóm nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.cost_group""],""order"":{""finance_production_cost_allocations.total_production_cost_value"":""desc""},""limit"":5}",biz,"[""finance_production_cost_allocations""]",Top 5 nhóm chi phí có tổng chi phí sản xuất cao nhất là những nhóm nào?,,,
,,,,,,,,
,,,,,,,,
149,Tổng chi phí sản xuất theo danh mục sản phẩm là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.old_product_category""],""order"":{""finance_production_cost_allocations.total_production_cost_value"":""desc""}}",biz,"[""finance_production_cost_allocations""]",Tổng chi phí sản xuất theo danh mục sản phẩm là bao nhiêu?,,,
150,Top 5 danh mục sản phẩm có chi phí sản xuất cao nhất là những danh mục nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.old_product_category""],""order"":{""finance_production_cost_allocations.total_production_cost_value"":""desc""},""limit"":5}",biz,"[""finance_production_cost_allocations""]",Top 5 danh mục sản phẩm có chi phí sản xuất cao nhất là những danh mục nào?,,,
,,,,,,,,
,,,,,,,,
153,Tổng chi phí sản xuất theo khu vực là bao nhiêu?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""order"":{""finance_production_cost_allocations.total_production_cost_value"":""desc""}}",biz,"[""finance_production_cost_allocations""]",Tổng chi phí sản xuất theo khu vực là bao nhiêu?,,,
154,Khu vực nào có tổng chi phí sản xuất cao nhất?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""order"":{""finance_production_cost_allocations.total_production_cost_value"":""desc""},""limit"":1}",biz,"[""finance_production_cost_allocations""]",Khu vực nào có tổng chi phí sản xuất cao nhất?,,,
155,Top 5 khu vực có chi phí sản xuất cao nhất là những khu vực nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""order"":{""finance_production_cost_allocations.total_production_cost_value"":""desc""},""limit"":5}",biz,"[""finance_production_cost_allocations""]",Top 5 khu vực có chi phí sản xuất cao nhất là những khu vực nào?,,,
,,,,,,,,
157,Chi phí sản xuất tập trung nhiều nhất ở những Khu vực/lãnh thổ nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""],""order"":{""finance_production_cost_allocations.total_production_cost_value"":""desc""},""limit"":10}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất tập trung nhiều nhất ở những Khu vực/lãnh thổ nào?,,,
158,Chi phí sản xuất tập trung nhiều nhất ở những nhóm chi phí nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.cost_group""],""order"":{""finance_production_cost_allocations.total_production_cost_value"":""desc""},""limit"":10}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất tập trung nhiều nhất ở những nhóm chi phí nào?,,,
159,Chi phí sản xuất tập trung nhiều nhất ở những danh mục sản phẩm nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.old_product_category""],""order"":{""finance_production_cost_allocations.total_production_cost_value"":""desc""},""limit"":10}",biz,"[""finance_production_cost_allocations""]",Chi phí sản xuất tập trung nhiều nhất ở những danh mục sản phẩm nào?,,,
160,Cấu trúc phân bổ chi phí sản xuất theo Khu vực/lãnh thổ là như thế nào?,"{""measures"":[""finance_production_cost_allocations.total_production_cost_value""],""dimensions"":[""finance_production_cost_allocations.territory_name""]}",biz,"[""finance_production_cost_allocations""]",Cấu trúc phân bổ chi phí sản xuất theo Khu vực/lãnh thổ là như thế nào?,,,
1,Tổng kế hoạch doanh thu sản phẩm dịch vụ (spdv) (MUST + NICE) quý 1 năm 2025 là bao nhiêu?,"{""measures"":[""finance_product_revenue_plan.total_plan_target_amount""],""timeDimensions"":[{""dimension"":""finance_product_revenue_plan.plan_date"",""dateRange"":[""2025-01-01"",""2025-03-31""]}]}",biz,"[""finance_product_revenue_plan""]",Tổng kế hoạch doanh thu (MUST + NICE) quý 1 năm 2025 là bao nhiêu?,,,
2,Tổng kế hoạch doanh thu sản phẩm dịch vụ (spdv) MUST quý 1 năm 2025 là bao nhiêu?,"{""measures"":[""finance_product_revenue_plan.total_plan_must_amount""],""timeDimensions"":[{""dimension"":""finance_product_revenue_plan.plan_date"",""dateRange"":[""2025-01-01"",""2025-03-31""]}]}",biz,"[""finance_product_revenue_plan""]",Tổng kế hoạch doanh thu MUST quý 1 năm 2025 là bao nhiêu?,,,
3,Tổng kế hoạch doanh thu sản phẩm dịch vụ (spdv) NICE quý 1 năm 2025 là bao nhiêu?,"{""measures"":[""finance_product_revenue_plan.total_plan_nice_amount""],""timeDimensions"":[{""dimension"":""finance_product_revenue_plan.plan_date"",""dateRange"":[""2025-01-01"",""2025-03-31""]}]}",biz,"[""finance_product_revenue_plan""]",Tổng kế hoạch doanh thu NICE quý 1 năm 2025 là bao nhiêu?,,,
4,Tổng kế hoạch doanh thu sản phẩm dịch vụ (spdv) theo từng tháng trong năm 2025 là bao nhiêu?,"{""measures"":[""finance_product_revenue_plan.total_plan_target_amount""],""timeDimensions"":[{""dimension"":""finance_product_revenue_plan.plan_date"",""granularity"":""month"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",biz,"[""finance_product_revenue_plan""]",Tổng kế hoạch doanh thu theo từng tháng trong năm 2025 là bao nhiêu?,,,
